NAME;CAPITAL;TOTAL_AREA_KM2;POPULATION;DENSITY_KM2;CONTINENT;URBAN_POPULATION;RURAL_POPULATION;CRUDE_OIL_BAR_DAY;OIL_RES_MIL_BAR;GAS_TONS;GAS_RES_MIL_M_3;GDP_MILLION_$;GDP_GROW_RATE;GDP_$_PER_CAPITA;DOCTORS;ILLITERACY;PRIMARY_SECTOR;SECONDARY_SECTOR;TERTIARY_SECTOR;PHONES_RATE;NATURAL_GROWTH;MEM_LIFE_EXP;WOMEN_LIFE_EXP;MAIN_SECTOR;MAIN_GROUP
Korea South ;Seoul ;98480;46027642;467,4;Asia;81;19;;;;;0;9;13000;1066;7;;33;44;0,27;9,8;67,4;75,4;Tertiary ;Urban
Kuwait;Kuwait;17820;1952975;109,6;Asia;97;3;2397000;99000;5400000;1500000;0;3;17000;675;27;1;23;73;0,14;;;;Tertiary ;Urban
Kyrgyzstan;Bishkek ;198500;4841425;24,4;Asia;39;61;;;;;0;-6;1140;;;;;;;;;;;Rural
Laos;Vientiane ;236800;4969777;21;Asia;22;78;;;;;0;8;1100;6495;;;;;0;24,5;47,8;50,8;;Rural
Latvia;Riga;64100;2776713;43,3;Europe;73;27;;;;;14700;-1,5;5300;;;;;;;;;;;Urban
Lebanon ;Beirut;10400;3775383;363;Asia;87;13;;;;;0;6,5;4900;771;;19;24;56;0,04;23;64,7;68,8;Tertiary ;Urban
Lesotho ;Maseru;30350;2041588;67,3;Africa;23;77;;;;;2800;13,5;1430;15728;;66;;24;0,01;28,4;51,5;60,5;Primary;Rural
Liberia ;Monrovia;111370;3175277;28,5;Africa;45;55;;;;;2300;0;770;9324;;68;4;;0;31,5;53;56;Primary;Rural
Libya ;Tripoli ;1759540;5442592;3,1;Africa;86;14;1440000;29500;5600000;1300000;32900;-0,9;6510;690;;19;27;53;0,09;34,6;59,1;62,5;Tertiary ;Urban
Liechtenstein ;Vaduz ;160;31022;193,9;Europe;21;79;;;;;630;0;22300;944;0;2;42;54;0,91;6,4;66,1;72,9;Tertiary ;Rural
Lithuania ;Vilnius ;65200;3903918;59,9;Europe;72;28;;;;;13300;1;3400;218;;;41;35;0,21;4,6;66,9;76,3;Secondary;Urban
